,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
0,2013,1,1,1,39.02,26.06,59.37,260.0,12.65858,,0.0,1012.6,10.0,2013-01-01 01:00:00
1,2013,1,1,2,39.02,26.06,59.37,270.0,11.5078,,0.0,1012.4,10.0,2013-01-01 02:00:00
2,2013,1,1,3,39.92,26.96,59.5,260.0,14.960139999999999,,0.0,1012.7,10.0,2013-01-01 03:00:00
3,2013,1,1,4,39.92,28.04,62.21,250.0,17.2617,,0.0,1012.6,10.0,2013-01-01 04:00:00
4,2013,1,1,5,39.02,26.96,61.63,260.0,14.960139999999999,,0.0,1012.1,10.0,2013-01-01 05:00:00
5,2013,1,1,6,37.94,26.96,64.29,260.0,13.80936,,0.0,1012.6,10.0,2013-01-01 06:00:00
6,2013,1,1,7,39.02,28.04,64.43,260.0,13.80936,,0.0,1012.5,10.0,2013-01-01 07:00:00
7,2013,1,1,8,39.92,26.96,59.5,260.0,17.2617,,0.0,1012.6,10.0,2013-01-01 08:00:00
8,2013,1,1,9,39.92,26.96,59.5,260.0,16.11092,,0.0,1013.0,10.0,2013-01-01 09:00:00
9,2013,1,1,10,41.0,28.04,59.65,260.0,16.11092,,0.0,1012.8,10.0,2013-01-01 10:00:00
10,2013,1,1,11,41.0,26.96,57.06,270.0,14.960139999999999,,0.0,1011.7,10.0,2013-01-01 11:00:00
11,2013,1,1,13,37.94,26.6,64.7,340.0,14.960139999999999,,0.0,,10.0,2013-01-01 13:00:00
12,2013,1,1,14,39.02,24.08,54.68,310.0,11.5078,,0.0,1011.2,10.0,2013-01-01 14:00:00
13,2013,1,1,15,39.02,23.0,52.26,290.0,12.65858,,0.0,1011.7,10.0,2013-01-01 15:00:00
14,2013,1,1,16,37.94,17.96,44.0,320.0,17.2617,24.16638,0.0,1012.1,10.0,2013-01-01 16:00:00
15,2013,1,1,17,37.04,17.06,43.85,330.0,16.11092,25.31716,0.0,1013.2,10.0,2013-01-01 17:00:00
16,2013,1,1,18,35.06,14.0,41.51,310.0,14.960139999999999,,0.0,1014.2,10.0,2013-01-01 18:00:00
